zipcode	locationtext	county
16534	Erie, PA	Erie
16538	Erie, PA	Erie
16541	Erie, PA	Erie
16544	Erie, PA	Erie
16546	Erie, PA	Erie
16550	Erie, PA	Erie
16553	Erie, PA	Erie
16554	Erie, PA	Erie
16563	Erie, PA	Erie
16565	Erie, PA	Erie
16601	Altoona, PA	Blair
16602	Altoona, PA	Blair
16603	Altoona, PA	Blair
16611	Alexandria, PA	Huntingdon
16613	Ashville, PA	Cambria
16616	Beccaria, PA	Clearfield
16617	Bellwood, PA	Blair
16619	Blandburg, PA	Cambria
16620	Brisbin, PA	Clearfield
16621	Broad Top, PA	Huntingdon
16622	Calvin, PA	Huntingdon
16623	Cassville, PA	Huntingdon
16624	Chest Springs, PA	Cambria
16625	Claysburg, PA	Blair
16627	Coalport, PA	Clearfield
16629	Coupon, PA	Cambria
16630	Cresson, PA	Cambria
16631	Curryville, PA	Blair
16633	Defiance, PA	Bedford
16634	Dudley, PA	Huntingdon
16635	Duncansville, PA	Blair
16636	Dysart, PA	Cambria
16637	East Freedom, PA	Blair
16638	Entriken, PA	Huntingdon
16639	Fallentimber, PA	Cambria
16640	Flinton, PA	Cambria
16641	Gallitzin, PA	Cambria
16644	Glasgow, PA	Beaver
16645	Glen Hope, PA	Clearfield
16646	Hastings, PA	Cambria
16647	Hesston, PA	Huntingdon
16648	Hollidaysburg, PA	Blair
16650	Hopewell, PA	Bedford
16651	Houtzdale, PA	Clearfield
16652	Huntingdon, PA	Huntingdon
16654	Huntingdon, PA	Huntingdon
16655	Imler, PA	Bedford
16656	Irvona, PA	Clearfield
16657	James Creek, PA	Huntingdon
16659	Loysburg, PA	Bedford
16660	Mc Connellstown, PA	Huntingdon
16661	Madera, PA	Clearfield
16662	Martinsburg, PA	Blair
16663	Morann, PA	Clearfield
16664	New Enterprise, PA	Bedford
16665	Newry, PA	Blair
16666	Osceola Mills, PA	Clearfield
16667	Osterburg, PA	Bedford
16668	Patton, PA	Cambria
16669	Petersburg, PA	Huntingdon
16670	Queen, PA	Bedford
16671	Ramey, PA	Clearfield
16672	Riddlesburg, PA	Bedford
16673	Roaring Spring, PA	Blair
16674	Robertsdale, PA	Huntingdon
16675	Saint Boniface, PA	Cambria
16677	Sandy Ridge, PA	Centre
16678	Saxton, PA	Bedford
16679	Six Mile Run, PA	Bedford
16680	Smithmill, PA	Clearfield
16681	Smokerun, PA	Clearfield
16682	Sproul, PA	Blair
16683	Spruce Creek, PA	Huntingdon
16684	Tipton, PA	Blair
16685	Todd, PA	Huntingdon
16686	Tyrone, PA	Blair
16689	Waterfall, PA	Fulton
16691	Wells Tannery, PA	Fulton
16692	Westover, PA	Clearfield
16693	Williamsburg, PA	Blair
16694	Wood, PA	Bedford
16695	Woodbury, PA	Bedford
16698	Houtzdale, PA	Clearfield
16699	Cresson, PA	Cambria
16701	Bradford, PA	McKean
16720	Austin, PA	Potter
16724	Crosby, PA	McKean
16725	Custer City, PA	McKean
16726	Cyclone, PA	McKean
16727	Derrick City, PA	McKean
16728	De Young, PA	Elk
16729	Duke Center, PA	McKean
16730	East Smethport, PA	McKean
16731	Eldred, PA	McKean
16732	Gifford, PA	McKean
16733	Hazel Hurst, PA	McKean
16734	James City, PA	Elk
16735	Kane, PA	McKean
16738	Lewis Run, PA	McKean
16740	Mount Jewett, PA	McKean
16743	Port Allegany, PA	McKean
16744	Rew, PA	McKean
16745	Rixford, PA	McKean
16746	Roulette, PA	Potter
16748	Shinglehouse, PA	Potter
16749	Smethport, PA	McKean
16750	Turtlepoint, PA	McKean
16801	State College, PA	Centre
16802	University Park, PA	Centre
16803	State College, PA	Centre
16804	State College, PA	Centre
16805	State College, PA	Centre
16820	Aaronsburg, PA	Centre
16821	Allport, PA	Clearfield
16822	Beech Creek, PA	Clinton
16823	Bellefonte, PA	Centre
16825	Bigler, PA	Clearfield
16826	Blanchard, PA	Centre
16827	Boalsburg, PA	Centre
16828	Centre Hall, PA	Centre
16829	Clarence, PA	Centre
16830	Clearfield, PA	Clearfield
16832	Coburn, PA	Centre
16833	Curwensville, PA	Clearfield
16834	Drifting, PA	Clearfield
16835	Fleming, PA	Centre
16836	Frenchville, PA	Clearfield
16837	Glen Richey, PA	Clearfield
16838	Grampian, PA	Clearfield
16839	Grassflat, PA	Clearfield
16840	Hawk Run, PA	Clearfield
16841	Howard, PA	Centre
16843	Hyde, PA	Clearfield
16844	Julian, PA	Centre
16845	Karthaus, PA	Centre
16847	Kylertown, PA	Clearfield
16848	Lamar, PA	Clinton
16849	Lanse, PA	Clearfield
16850	Lecontes Mills, PA	Clearfield
16851	Lemont, PA	Centre
16852	Madisonburg, PA	Centre
16853	Milesburg, PA	Centre
16854	Millheim, PA	Centre
16855	Mineral Springs, PA	Clearfield
16856	Mingoville, PA	Centre
16858	Morrisdale, PA	Clearfield
16859	Moshannon, PA	Centre
16860	Munson, PA	Clearfield
16861	New Millport, PA	Clearfield
16863	Olanta, PA	Clearfield
16864	Orviston, PA	Centre
16865	Pennsylvania Furnace, PA	Centre
16866	Philipsburg, PA	Centre
16868	Pine Grove Mills, PA	Centre
16870	Port Matilda, PA	Centre
16871	Pottersdale, PA	Clinton
16872	Rebersburg, PA	Centre
16873	Shawville, PA	Clearfield
16874	Snow Shoe, PA	Centre
16875	Spring Mills, PA	Centre
16876	Wallaceton, PA	Clearfield
16877	Warriors Mark, PA	Centre
16878	West Decatur, PA	Clearfield
16879	Winburne, PA	Clearfield
16881	Woodland, PA	Clearfield
16882	Woodward, PA	Centre
16901	Wellsboro, PA	Tioga
16910	Alba, PA	Bradford
16911	Arnot, PA	Tioga
16912	Blossburg, PA	Tioga
16914	Columbia Cross Roads, PA	Bradford
16915	Coudersport, PA	Potter
16917	Covington, PA	Tioga
16918	Cowanesque, PA	Tioga
16920	Elkland, PA	Tioga
16921	Gaines, PA	Tioga
16922	Galeton, PA	Potter
16923	Genesee, PA	Potter
16925	Gillett, PA	Bradford
16926	Granville Summit, PA	Bradford
16927	Harrison Valley, PA	Potter
16928	Knoxville, PA	Tioga
16929	Lawrenceville, PA	Tioga
16930	Liberty, PA	Tioga
16932	Mainesburg, PA	Tioga
16933	Mansfield, PA	Tioga
16935	Middlebury Center, PA	Tioga
16936	Millerton, PA	Tioga
16937	Mills, PA	Potter
16938	Morris, PA	Tioga
16939	Morris Run, PA	Tioga
16940	Nelson, PA	Tioga
16941	Genesee, PA	Potter
16942	Osceola, PA	Tioga
16943	Sabinsville, PA	Potter
16945	Sylvania, PA	Bradford
16946	Tioga, PA	Tioga
16947	Troy, PA	Bradford
16948	Ulysses, PA	Potter
16950	Westfield, PA	Tioga
17001	Camp Hill, PA	Cumberland
17002	Allensville, PA	Huntingdon
17003	Annville, PA	Lebanon
17004	Belleville, PA	Mifflin
17005	Berrysburg, PA	Dauphin
17006	Blain, PA	Perry
17007	Boiling Springs, PA	Cumberland
17008	Bowmansdale, PA	Cumberland
17009	Burnham, PA	Mifflin
17010	Campbelltown, PA	Lebanon
17011	Camp Hill, PA	Cumberland
17012	Camp Hill, PA	Cumberland
17013	Carlisle, PA	Cumberland
17014	Cocolamus, PA	Juniata
17015	Carlisle, PA	Cumberland
17016	Cornwall, PA	Lebanon
17017	Dalmatia, PA	Northumberland
17018	Dauphin, PA	Dauphin
17019	Dillsburg, PA	York
17020	Duncannon, PA	Perry
17021	East Waterford, PA	Juniata
17022	Elizabethtown, PA	Lancaster
17023	Elizabethville, PA	Dauphin
17024	Elliottsburg, PA	Perry
17025	Enola, PA	Cumberland
17026	Fredericksburg, PA	Lebanon
17027	Grantham, PA	Cumberland
17028	Grantville, PA	Dauphin
17029	Granville, PA	Mifflin
17030	Gratz, PA	Dauphin
17032	Halifax, PA	Dauphin
17033	Hershey, PA	Dauphin
17034	Highspire, PA	Dauphin
17035	Honey Grove, PA	Juniata
17036	Hummelstown, PA	Dauphin
17037	Ickesburg, PA	Perry
17038	Jonestown, PA	Lebanon
17039	Kleinfeltersville, PA	Lebanon
17040	Landisburg, PA	Perry
17041	Lawn, PA	Lebanon
17042	Lebanon, PA	Lebanon
17043	Lemoyne, PA	Cumberland
17044	Lewistown, PA	Mifflin
17045	Liverpool, PA	Perry
17046	Lebanon, PA	Lebanon
17047	Loysville, PA	Perry
17048	Lykens, PA	Dauphin
17049	Mc Alisterville, PA	Juniata
17050	Mechanicsburg, PA	Cumberland
17051	Mc Veytown, PA	Mifflin
17052	Mapleton Depot, PA	Huntingdon
17053	Marysville, PA	Perry
17054	Mattawana, PA	Mifflin
17055	Mechanicsburg, PA	Cumberland
17056	Mexico, PA	Juniata
17057	Middletown, PA	Dauphin
17058	Mifflin, PA	Juniata
17059	Mifflintown, PA	Juniata
17060	Mill Creek, PA	Huntingdon
17061	Millersburg, PA	Dauphin
17062	Millerstown, PA	Perry
17063	Milroy, PA	Mifflin
17064	Mount Gretna, PA	Lebanon
17065	Mount Holly Springs, PA	Cumberland
17066	Mount Union, PA	Huntingdon
17067	Myerstown, PA	Lebanon
17068	New Bloomfield, PA	Perry
17069	New Buffalo, PA	Perry
17070	New Cumberland, PA	Cumberland
17071	New Germantown, PA	Perry
17072	New Kingstown, PA	Cumberland
17073	Newmanstown, PA	Lebanon
17074	Newport, PA	Perry
17075	Newton Hamilton, PA	Mifflin
17076	Oakland Mills, PA	Juniata
17077	Ono, PA	Lebanon
17078	Palmyra, PA	Lebanon
17080	Pillow, PA	Dauphin
17081	Plainfield, PA	Cumberland
17082	Port Royal, PA	Juniata
17083	Quentin, PA	Lebanon
17084	Reedsville, PA	Mifflin
17085	Rexmont, PA	Lebanon
17086	Richfield, PA	Juniata
17087	Richland, PA	Allegheny
17087	Richland, PA	Lebanon
17088	Schaefferstown, PA	Lebanon
17089	Camp Hill, PA	Cumberland
17090	Shermans Dale, PA	Perry
17091	Lebanon, PA	Lebanon
17093	Summerdale, PA	Cumberland
17094	Thompsontown, PA	Juniata
17097	Wiconisco, PA	Dauphin
17098	Williamstown, PA	Dauphin
17099	Yeagertown, PA	Mifflin
17101	Harrisburg, PA	Dauphin
17102	Harrisburg, PA	Dauphin
17103	Harrisburg, PA	Dauphin
17104	Harrisburg, PA	Dauphin
17105	Harrisburg, PA	Dauphin
17106	Harrisburg, PA	Dauphin
17107	Harrisburg, PA	Dauphin
17108	Harrisburg, PA	Dauphin
17109	Harrisburg, PA	Dauphin
17110	Harrisburg, PA	Dauphin
17111	Harrisburg, PA	Dauphin
17112	Harrisburg, PA	Dauphin
17113	Harrisburg, PA	Dauphin
17120	Harrisburg, PA	Dauphin
17121	Harrisburg, PA	Dauphin
17122	Harrisburg, PA	Dauphin
17123	Harrisburg, PA	Dauphin
17124	Harrisburg, PA	Dauphin
17125	Harrisburg, PA	Dauphin
17126	Harrisburg, PA	Dauphin
17127	Harrisburg, PA	Dauphin
17128	Harrisburg, PA	Dauphin
17129	Harrisburg, PA	Dauphin
17130	Harrisburg, PA	Dauphin
17140	Harrisburg, PA	Dauphin
17177	Harrisburg, PA	Dauphin
17201	Chambersburg, PA	Franklin
17202	Chambersburg, PA	Franklin
17210	Amberson, PA	Franklin
17211	Artemas, PA	Bedford
17212	Big Cove Tannery, PA	Fulton
17213	Blairs Mills, PA	Huntingdon
17214	Blue Ridge Summit, PA	Franklin
17215	Burnt Cabins, PA	Fulton
17217	Concord, PA	Franklin
17219	Doylesburg, PA	Franklin
17220	Dry Run, PA	Franklin
17221	Fannettsburg, PA	Franklin
17222	Fayetteville, PA	Franklin
17223	Fort Littleton, PA	Fulton
17224	Fort Loudon, PA	Franklin
17225	Greencastle, PA	Franklin
17228	Harrisonville, PA	Fulton
17229	Hustontown, PA	Fulton
17231	Lemasters, PA	Franklin
17232	Lurgan, PA	Franklin
17233	Mc Connellsburg, PA	Fulton
17235	Marion, PA	Franklin
17236	Mercersburg, PA	Franklin
17237	Mont Alto, PA	Franklin
17238	Needmore, PA	Fulton
17239	Neelyton, PA	Huntingdon
17240	Newburg, PA	Clearfield
17240	Newburg, PA	Cumberland
17241	Newville, PA	Cumberland
17243	Orbisonia, PA	Huntingdon
17244	Orrstown, PA	Franklin
17246	Pleasant Hall, PA	Franklin
17247	Quincy, PA	Franklin
17249	Rockhill Furnace, PA	Huntingdon
17250	Rouzerville, PA	Franklin
17251	Roxbury, PA	Franklin
17252	Saint Thomas, PA	Franklin
17253	Saltillo, PA	Huntingdon
17254	Scotland, PA	Franklin
17255	Shade Gap, PA	Huntingdon
17256	Shady Grove, PA	Franklin
17257	Shippensburg, PA	Cumberland
17260	Shirleysburg, PA	Huntingdon
17261	South Mountain, PA	Franklin
17262	Spring Run, PA	Franklin
17263	State Line, PA	Franklin
17264	Three Springs, PA	Huntingdon
17265	Upperstrasburg, PA	Franklin
17266	Walnut Bottom, PA	Cumberland
17267	Warfordsburg, PA	Fulton
17268	Waynesboro, PA	Franklin
17270	Williamson, PA	Franklin
17271	Willow Hill, PA	Franklin
17272	Zullinger, PA	Franklin
17301	Abbottstown, PA	Adams
17302	Airville, PA	York
17303	Arendtsville, PA	Adams
17304	Aspers, PA	Adams
17306	Bendersville, PA	Adams
17307	Biglerville, PA	Adams
17309	Brogue, PA	York
17310	Cashtown, PA	Adams
17311	Codorus, PA	York
17312	Craley, PA	York
17313	Dallastown, PA	York
17314	Delta, PA	York
17315	Dover, PA	York
17316	East Berlin, PA	Adams
17317	East Prospect, PA	York
17318	Emigsville, PA	York
17319	Etters, PA	York
17320	Fairfield, PA	Adams
17321	Fawn Grove, PA	York
17322	Felton, PA	York
17323	Franklintown, PA	York
17324	Gardners, PA	Adams
17325	Gettysburg, PA	Adams
17326	Gettysburg, PA	Adams
17327	Glen Rock, PA	York
17329	Glenville, PA	York
17331	Hanover, PA	Lehigh
17331	Hanover, PA	York
17332	Hanover, PA	Lehigh
17332	Hanover, PA	York
17333	Hanover, PA	Lehigh
17333	Hanover, PA	York
17334	Hanover, PA	Lehigh
17334	Hanover, PA	York
17335	Hanover, PA	Lehigh
17335	Hanover, PA	York
17337	Idaville, PA	Adams
17339	Lewisberry, PA	York
17340	Littlestown, PA	Adams
17342	Loganville, PA	York
17343	Mc Knightstown, PA	Adams
17344	Mc Sherrystown, PA	Adams
17345	Manchester, PA	York
17347	Mount Wolf, PA	York
17349	New Freedom, PA	York
17350	New Oxford, PA	Adams
17352	New Park, PA	York
17353	Orrtanna, PA	Adams
17354	Porters Sideling, PA	York
17355	Railroad, PA	York
17356	Red Lion, PA	York
17358	Rossville, PA	York
17360	Seven Valleys, PA	York
17361	Shrewsbury, PA	York
17362	Spring Grove, PA	York
17363	Stewartstown, PA	York
17364	Thomasville, PA	York
17365	Wellsville, PA	York
17366	Windsor, PA	York
17368	Wrightsville, PA	York
17370	York Haven, PA	York
17371	York New Salem, PA	York
17372	York Springs, PA	Adams
17375	Peach Glen, PA	Adams
17401	York, PA	York
17402	York, PA	York
17403	York, PA	York
17404	York, PA	York
17405	York, PA	York
17406	York, PA	York
17407	York, PA	York
17408	York, PA	York
17415	York, PA	York
17501	Akron, PA	Lancaster
17502	Bainbridge, PA	Lancaster
17503	Bart, PA	Lancaster
17504	Bausman, PA	Lancaster
17505	Bird In Hand, PA	Lancaster
17506	Blue Ball, PA	Lancaster
17507	Bowmansville, PA	Lancaster
17508	Brownstown, PA	Lancaster
17509	Christiana, PA	Lancaster
17512	Columbia, PA	Lancaster
17516	Conestoga, PA	Lancaster
17517	Denver, PA	Lancaster
17518	Drumore, PA	Lancaster
17519	East Earl, PA	Lancaster
17520	East Petersburg, PA	Lancaster
17521	Elm, PA	Lancaster
17522	Ephrata, PA	Lancaster
17527	Gap, PA	Lancaster
17528	Goodville, PA	Lancaster
17529	Gordonville, PA	Lancaster
17532	Holtwood, PA	Lancaster
17533	Hopeland, PA	Lancaster
17534	Intercourse, PA	Lancaster
17535	Kinzers, PA	Lancaster
17536	Kirkwood, PA	Lancaster
17537	Lampeter, PA	Lancaster
17538	Landisville, PA	Lancaster
17540	Leola, PA	Lancaster
17543	Lititz, PA	Lancaster
17545	Manheim, PA	Lancaster
17547	Marietta, PA	Lancaster
17549	Martindale, PA	Lancaster
17550	Maytown, PA	Lancaster
17551	Millersville, PA	Lancaster
17552	Mount Joy, PA	Lancaster
17554	Mountville, PA	Lancaster
17555	Narvon, PA	Lancaster
17557	New Holland, PA	Lancaster
17560	New Providence, PA	Lancaster
17562	Paradise, PA	Lancaster
17563	Peach Bottom, PA	Lancaster
17564	Penryn, PA	Lancaster
17565	Pequea, PA	Lancaster
17566	Quarryville, PA	Lancaster
17567	Reamstown, PA	Lancaster
17568	Refton, PA	Lancaster
17569	Reinholds, PA	Lancaster
17570	Rheems, PA	Lancaster
17572	Ronks, PA	Lancaster
17573	Lancaster, PA	Lancaster
17575	Silver Spring, PA	Lancaster
17576	Smoketown, PA	Lancaster
17578	Stevens, PA	Lancaster
17579	Strasburg, PA	Lancaster
17580	Talmage, PA	Lancaster
17581	Terre Hill, PA	Lancaster
17582	Washington Boro, PA	Lancaster
17583	West Willow, PA	Lancaster
17584	Willow Street, PA	Lancaster
17585	Witmer, PA	Lancaster
17601	Lancaster, PA	Lancaster
17602	Lancaster, PA	Lancaster
17603	Lancaster, PA	Lancaster
17604	Lancaster, PA	Lancaster
17605	Lancaster, PA	Lancaster
17606	Lancaster, PA	Lancaster
17607	Lancaster, PA	Lancaster
17608	Lancaster, PA	Lancaster
17611	Lancaster, PA	Lancaster
17622	Lancaster, PA	Lancaster
17699	Lancaster, PA	Lancaster
17701	Williamsport, PA	Clinton
17701	Williamsport, PA	Lycoming
17702	Williamsport, PA	Clinton
17702	Williamsport, PA	Lycoming
17703	Williamsport, PA	Clinton
17703	Williamsport, PA	Lycoming
17705	Williamsport, PA	Clinton
17705	Williamsport, PA	Lycoming
17720	Antes Fort, PA	Lycoming
17721	Avis, PA	Clinton
17723	Cammal, PA	Lycoming
17724	Canton, PA	Bradford
17726	Castanea, PA	Clinton
17727	Cedar Run, PA	Lycoming
17728	Cogan Station, PA	Lycoming
17729	Cross Fork, PA	Potter
17730	Dewart, PA	Northumberland
17731	Eagles Mere, PA	Sullivan
17735	Grover, PA	Bradford
17737	Hughesville, PA	Lycoming
17738	North Bend, PA	Clinton
17739	Jersey Mills, PA	Lycoming
17740	Jersey Shore, PA	Lycoming
17742	Lairdsville, PA	Lycoming
17744	Linden, PA	Lycoming
17745	Lock Haven, PA	Clinton
17747	Loganton, PA	Clinton
17748	Mc Elhattan, PA	Clinton
17749	Mc Ewensville, PA	Northumberland
17750	Mackeyville, PA	Clinton
17751	Mill Hall, PA	Clinton
17752	Montgomery, PA	Lycoming
17754	Montoursville, PA	Lycoming
17756	Muncy, PA	Lycoming
17758	Muncy Valley, PA	Sullivan
17760	North Bend, PA	Clinton
17762	Picture Rocks, PA	Lycoming
17763	Ralston, PA	Lycoming
17764	Renovo, PA	Clinton
17765	Roaring Branch, PA	Tioga
17767	Salona, PA	Clinton
17768	Shunk, PA	Sullivan
17769	Slate Run, PA	Lycoming
17771	Trout Run, PA	Lycoming
17772	Turbotville, PA	Northumberland
17773	Tylersville, PA	Clinton
17774	Unityville, PA	Lycoming
17776	Waterville, PA	Lycoming
17777	Watsontown, PA	Northumberland
17778	Westport, PA	Clinton
17779	Woolrich, PA	Clinton
17801	Sunbury, PA	Northumberland
17810	Allenwood, PA	Lycoming
17812	Beaver Springs, PA	Snyder
17813	Beavertown, PA	Snyder
17814	Benton, PA	Columbia
17815	Bloomsburg, PA	Columbia
17820	Catawissa, PA	Columbia
17821	Danville, PA	Montour
17822	Danville, PA	Montour
17823	Dornsife, PA	Northumberland
17824	Elysburg, PA	Columbia
17827	Freeburg, PA	Snyder
17829	Hartleton, PA	Union
17830	Herndon, PA	Northumberland
17831	Hummels Wharf, PA	Snyder
17832	Marion Heights, PA	Northumberland
17833	Kreamer, PA	Snyder
17834	Kulpmont, PA	Northumberland
17835	Laurelton, PA	Union
17836	Leck Kill, PA	Northumberland
17837	Lewisburg, PA	Union
17839	Lightstreet, PA	Columbia
17840	Locust Gap, PA	Northumberland
17841	Mc Clure, PA	Mifflin
17842	Middleburg, PA	Snyder
17843	Beaver Springs, PA	Snyder
17844	Mifflinburg, PA	Union
17845	Millmont, PA	Union
17846	Millville, PA	Columbia
17847	Milton, PA	Northumberland
17850	Montandon, PA	Northumberland
17851	Mount Carmel, PA	Northumberland
17853	Mount Pleasant Mills, PA	Snyder
17855	New Berlin, PA	Union
17856	New Columbia, PA	Union
17857	Northumberland, PA	Northumberland
17858	Numidia, PA	Columbia
17859	Orangeville, PA	Columbia
17860	Paxinos, PA	Northumberland
17861	Paxtonville, PA	Snyder
17862	Penns Creek, PA	Snyder
17864	Port Trevorton, PA	Snyder
17865	Potts Grove, PA	Northumberland
17866	Coal Township, PA	Northumberland
17867	Rebuck, PA	Northumberland
17868	Riverside, PA	Northumberland
17870	Selinsgrove, PA	Snyder
17872	Shamokin, PA	Northumberland
17876	Shamokin Dam, PA	Snyder
17877	Snydertown, PA	Northumberland
17878	Stillwater, PA	Columbia
17880	Swengel, PA	Union
17881	Trevorton, PA	Northumberland
17882	Troxelville, PA	Snyder
17883	Vicksburg, PA	Union
17884	Washingtonville, PA	Montour
17885	Weikert, PA	Union
17886	West Milton, PA	Union
17887	White Deer, PA	Union
17888	Wilburton, PA	Columbia
17889	Winfield, PA	Snyder
17901	Pottsville, PA	Schuylkill
17920	Aristes, PA	Columbia
17921	Ashland, PA	Schuylkill
17922	Auburn, PA	Schuylkill
17923	Branchdale, PA	Schuylkill
17925	Brockton, PA	Schuylkill
17929	Cressona, PA	Schuylkill
17930	Cumbola, PA	Schuylkill
17931	Frackville, PA	Schuylkill
17932	Frackville, PA	Schuylkill
17933	Friedensburg, PA	Schuylkill
17934	Gilberton, PA	Schuylkill
17935	Girardville, PA	Schuylkill
17936	Gordon, PA	Schuylkill
17938	Hegins, PA	Schuylkill
17941	Klingerstown, PA	Schuylkill
17942	Landingville, PA	Schuylkill
17943	Lavelle, PA	Schuylkill
17944	Llewellyn, PA	Schuylkill
17945	Locustdale, PA	Schuylkill
17946	Lost Creek, PA	Schuylkill
17948	Mahanoy City, PA	Schuylkill
17949	Mahanoy Plane, PA	Schuylkill
17951	Mar Lin, PA	Schuylkill
17952	Mary D, PA	Schuylkill
17953	Middleport, PA	Schuylkill
17954	Minersville, PA	Schuylkill
17957	Muir, PA	Schuylkill
17959	New Philadelphia, PA	Schuylkill
17960	New Ringgold, PA	Schuylkill
17961	Orwigsburg, PA	Schuylkill
17963	Pine Grove, PA	Schuylkill
17964	Pitman, PA	Schuylkill
17965	Port Carbon, PA	Schuylkill
17966	Ravine, PA	Schuylkill
17967	Ringtown, PA	Schuylkill
17968	Sacramento, PA	Schuylkill
17970	Saint Clair, PA	Schuylkill
17972	Schuylkill Haven, PA	Schuylkill
17974	Seltzer, PA	Schuylkill
17976	Shenandoah, PA	Schuylkill
17978	Spring Glen, PA	Schuylkill
17979	Summit Station, PA	Schuylkill
17980	Tower City, PA	Schuylkill
17981	Tremont, PA	Schuylkill
17982	Tuscarora, PA	Schuylkill
17983	Valley View, PA	Schuylkill
17985	Zion Grove, PA	Schuylkill
18001	Lehigh Valley, PA	Northampton
18002	Lehigh Valley, PA	Northampton
18003	Lehigh Valley, PA	Northampton
18010	Ackermanville, PA	Northampton
18011	Alburtis, PA	Lehigh
18012	Aquashicola, PA	Carbon
18013	Bangor, PA	Northampton
18014	Bath, PA	Northampton
18015	Bethlehem, PA	Northampton
18016	Bethlehem, PA	Lehigh
18017	Bethlehem, PA	Northampton
18018	Bethlehem, PA	Lehigh
18020	Bethlehem, PA	Northampton
18025	Bethlehem, PA	Lehigh
18030	Bowmanstown, PA	Carbon
18031	Breinigsville, PA	Lehigh
18032	Catasauqua, PA	Lehigh
18034	Center Valley, PA	Lehigh
18035	Cherryville, PA	Northampton
18036	Coopersburg, PA	Lehigh
18037	Coplay, PA	Lehigh
18038	Danielsville, PA	Northampton
18039	Durham, PA	Bucks
18040	Easton, PA	Northampton
18041	East Greenville, PA	Montgomery
18042	Easton, PA	Northampton
18043	Easton, PA	Northampton
18044	Easton, PA	Northampton
18045	Easton, PA	Northampton
18046	East Texas, PA	Lehigh
18049	Emmaus, PA	Lehigh
18050	Flicksville, PA	Northampton
18051	Fogelsville, PA	Lehigh
18052	Whitehall, PA	Lehigh
18053	Germansville, PA	Lehigh
18054	Green Lane, PA	Montgomery
18055	Hellertown, PA	Northampton
18056	Hereford, PA	Berks
18058	Kunkletown, PA	Monroe
18059	Laurys Station, PA	Lehigh
18060	Limeport, PA	Lehigh
18062	Macungie, PA	Lehigh
18063	Martins Creek, PA	Northampton
18064	Nazareth, PA	Northampton
18065	Neffs, PA	Lehigh
18066	New Tripoli, PA	Lehigh
18067	Northampton, PA	Northampton
18068	Old Zionsville, PA	Lehigh
18069	Orefield, PA	Lehigh
18070	Palm, PA	Montgomery
18071	Palmerton, PA	Carbon
18072	Pen Argyl, PA	Northampton
18073	Pennsburg, PA	Montgomery
18074	Perkiomenville, PA	Montgomery
18076	Red Hill, PA	Montgomery
18077	Riegelsville, PA	Bucks
18078	Schnecksville, PA	Lehigh
18079	Slatedale, PA	Lehigh
18080	Slatington, PA	Lehigh
18081	Springtown, PA	Bucks
18083	Stockertown, PA	Northampton
18084	Sumneytown, PA	Montgomery
18085	Tatamy, PA	Northampton
18086	Treichlers, PA	Northampton
18087	Trexlertown, PA	Lehigh
18088	Walnutport, PA	Northampton
18091	Wind Gap, PA	Northampton
18092	Zionsville, PA	Lehigh
18098	Emmaus, PA	Lehigh
18099	Emmaus, PA	Lehigh
18101	Allentown, PA	Lehigh
18102	Allentown, PA	Lehigh
18103	Allentown, PA	Lehigh
18104	Allentown, PA	Lehigh
18105	Allentown, PA	Lehigh
18106	Allentown, PA	Lehigh
18109	Allentown, PA	Lehigh
18175	Allentown, PA	Lehigh
18195	Allentown, PA	Lehigh
18201	Hazleton, PA	Luzerne
18202	Hazleton, PA	Luzerne
18210	Albrightsville, PA	Carbon
18211	Andreas, PA	Schuylkill
18212	Ashfield, PA	Carbon
18214	Barnesville, PA	Schuylkill
18216	Beaver Meadows, PA	Carbon
18218	Coaldale, PA	Bedford
18218	Coaldale, PA	Schuylkill
18219	Conyngham, PA	Luzerne
18220	Delano, PA	Schuylkill
18221	Drifton, PA	Luzerne
18222	Drums, PA	Luzerne
18223	Ebervale, PA	Luzerne
18224	Freeland, PA	Luzerne
18225	Harleigh, PA	Luzerne
18229	Jim Thorpe, PA	Carbon
18230	Junedale, PA	Carbon
18231	Kelayres, PA	Schuylkill
18232	Lansford, PA	Carbon
18234	Lattimer Mines, PA	Luzerne
18235	Lehighton, PA	Carbon
18237	Mcadoo, PA	Schuylkill
18239	Milnesville, PA	Luzerne
18240	Nesquehoning, PA	Carbon
18241	Nuremberg, PA	Luzerne
18242	Oneida, PA	Schuylkill
18244	Parryville, PA	Carbon
18245	Quakake, PA	Schuylkill
18246	Rock Glen, PA	Luzerne
18247	Saint Johns, PA	Luzerne
18248	Sheppton, PA	Schuylkill
18249	Sugarloaf, PA	Luzerne
18250	Summit Hill, PA	Carbon
18251	Sybertsville, PA	Luzerne
18252	Tamaqua, PA	Schuylkill
18254	Tresckow, PA	Carbon
18255	Weatherly, PA	Carbon
18256	Weston, PA	Luzerne
18301	East Stroudsburg, PA	Monroe
18302	East Stroudsburg, PA	Monroe
18320	Analomink, PA	Monroe
18321	Bartonsville, PA	Monroe
18322	Brodheadsville, PA	Monroe
18323	Buck Hill Falls, PA	Monroe
18324	Bushkill, PA	Pike
18325	Canadensis, PA	Monroe
18326	Cresco, PA	Monroe
18327	Delaware Water Gap, PA	Monroe
18328	Dingmans Ferry, PA	Pike
18330	Effort, PA	Monroe
18331	Gilbert, PA	Monroe
